bdwpt_penetration,traffic_density,day_type,weather_condition,pv_penetration,scenario_name,run_id,min_voltage_pu,max_voltage_pu,voltage_violations,avg_voltage_deviation,peak_demand_mw,peak_shaving_achieved_mw,reverse_power_flow_hours,total_energy_traded_mwh,avg_ev_soc_end,charging_efficiency,v2g_utilization,total_losses_mwh,transformer_loading_max,line_loading_max,grid_cost_savings,ev_owner_revenue,peak_reduction_percent,total_benefits
0.4,medium,weekday,clear,0.3,High_BDWPT,0,0.9945055548128042,0.9977546903447583,0,0.0030359710124160445,0.14815568713814914,0,0,0.0041987053160959685,0.5256829241154533,0.95,0.0,0.0,0.0,0.0,0.0,0.3149028987071976,0.0,0.3149028987071976
0.4,medium,weekday,clear,0.3,High_BDWPT,1,0.9950298153952589,0.9977800844420243,0,0.0029284332000317336,0.1435664245963753,0,0,0.003526365662615513,0.5281456659438637,0.95,0.0,0.0,0.0,0.0,0.0,0.2644774246961635,0.0,0.2644774246961635
0.4,medium,weekday,clear,0.3,High_BDWPT,2,0.9947610903226511,0.9977845383933195,0,0.0028656671432033052,0.1436256635991074,0,0,0.003674077168259967,0.5063518696588323,0.95,0.0,0.0,0.0,0.0,0.0,0.27555578761949756,0.0,0.27555578761949756
0.4,medium,weekday,clear,0.3,High_BDWPT,3,0.9946258438181647,0.9977439899476948,0,0.002987935996104605,0.14387659194200098,0,0,0.003608120572896395,0.5691485501332136,0.95,0.0,0.0,0.0,0.0,0.0,0.27060904296722965,0.0,0.27060904296722965
0.4,medium,weekday,clear,0.3,High_BDWPT,4,0.9945448074026126,0.9978153368646118,0,0.0030319643077450996,0.14538551911776204,0,0,0.004374006727295118,0.5620455117455717,0.95,0.0,0.0,0.0,0.0,0.0,0.32805050454713386,0.0,0.32805050454713386
0.4,medium,weekday,clear,0.3,High_BDWPT,5,0.9946555428103978,0.9977705939535886,0,0.0028952810666977758,0.14396361433220153,0,0,0.0037208795980577403,0.5590771176532732,0.95,0.0,0.0,0.0,0.0,0.0,0.2790659698543305,0.0,0.2790659698543305
0.4,medium,weekday,clear,0.3,High_BDWPT,6,0.9942785512829029,0.9977805791791787,0,0.003077750266016202,0.14425255786596786,0,0,0.00402249371061064,0.546994922103184,0.95,0.0,0.0,0.0,0.0,0.0,0.301687028295798,0.0,0.301687028295798
0.4,medium,weekday,clear,0.3,High_BDWPT,7,0.9945573222033712,0.9977698236388597,0,0.0029838921339960848,0.15111145848746046,0,0,0.00416399134668345,0.5659373551901,0.95,0.0,0.0,0.0,0.0,0.0,0.3122993510012588,0.0,0.3122993510012588
0.4,medium,weekday,clear,0.3,High_BDWPT,8,0.99445683634516,0.9977225241094132,0,0.0029630979474271012,0.14314811142335274,0,0,0.003809065137325397,0.5767215599012698,0.95,0.0,0.0,0.0,0.0,0.0,0.2856798852994048,0.0,0.2856798852994048
0.4,medium,weekday,clear,0.3,High_BDWPT,9,0.9943726608336394,0.9978229488192348,0,0.002994270409222824,0.14780288363737945,0,0,0.0044245566252127475,0.5827942621167944,0.95,0.0,0.0,0.0,0.0,0.0,0.331841746890956,0.0,0.331841746890956
0.4,high,weekday,rain,0.3,High_Traffic_Rain,0,0.9949038745375751,0.9977552401834249,0,0.0028760138016763305,0.14761907429727733,0,0,0.0029270100854410183,0.5721322951983775,0.95,0.0,0.0,0.0,0.0,0.0,0.21952575640807637,0.0,0.21952575640807637
